clock_name,description,modality,year,n_features,citation,doi
biolearn_OrganAgeMortality_Adipose,OrganAge mortality — Adipose,proteomics,2023,5,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeMortality_Adrenal,OrganAge mortality — Adrenal,proteomics,2023,2,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeMortality_Artery,OrganAge mortality — Artery,proteomics,2023,11,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeMortality_Brain,OrganAge mortality — Brain,proteomics,2023,75,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeMortality_Conventional,OrganAge mortality — Conventional,proteomics,2023,148,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeMortality_Esophagus,OrganAge mortality — Esophagus,proteomics,2023,4,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeMortality_Female,OrganAge mortality — Female,proteomics,2023,6,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeMortality_Heart,OrganAge mortality — Heart,proteomics,2023,7,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeMortality_Immune,OrganAge mortality — Immune,proteomics,2023,85,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeMortality_Intestine,OrganAge mortality — Intestine,proteomics,2023,30,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeMortality_Kidney,OrganAge mortality — Kidney,proteomics,2023,4,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeMortality_Liver,OrganAge mortality — Liver,proteomics,2023,63,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeMortality_Lung,OrganAge mortality — Lung,proteomics,2023,9,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeMortality_Male,OrganAge mortality — Male,proteomics,2023,27,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeMortality_Multi-organ,OrganAge mortality — Multi-organ,proteomics,2023,101,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeMortality_Muscle,OrganAge mortality — Muscle,proteomics,2023,11,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeMortality_Organismal,OrganAge mortality — Organismal,proteomics,2023,207,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeMortality_Pancreas,OrganAge mortality — Pancreas,proteomics,2023,26,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeMortality_Pituitary,OrganAge mortality — Pituitary,proteomics,2023,11,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeMortality_Salivary,OrganAge mortality — Salivary,proteomics,2023,10,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeMortality_Skin,OrganAge mortality — Skin,proteomics,2023,12,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeMortality_Stomach,OrganAge mortality — Stomach,proteomics,2023,6,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeMortality_Thyroid,OrganAge mortality — Thyroid,proteomics,2023,2,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_ProstateCancerKirby,DNAm prostate cancer risk predictor (4 CpGs),methylation,2017,4,"Kirby MK, et al. ""Genome-wide DNA methylation measurements in prostate tissues uncovers novel prostate cancer diagnostic biomarkers."" Clin Epigenetics 9 (2017): 89.",https://doi.org/10.1186/s13148-017-0389-3
biolearn_TranscriptomicPrediction,"Transcriptomic age predictor (Peters TRAP, 11,908 genes)",transcriptomics,2015,11779,"Peters MJ, et al. ""The transcriptional landscape of age in human peripheral blood."" Nat Commun 6 (2015): 8570.",https://doi.org/10.1038/ncomms9570
biolearn_VidalBralo,8-CpG age predictor from whole blood,methylation,2016,8,"Vidal-Bralo L, et al. ""Simplified Assay for Epigenetic Age Estimation in Whole Blood of Adults."" Front Genet 7 (2016): 126.",https://doi.org/10.3389/fgene.2016.00126
biolearn_down_syndrome,DNAm Down syndrome associated accelerated aging (652 CpGs),methylation,2015,652,"Bacalini MG, et al. ""Identification of a DNA methylation signature in blood cells from persons with Down Syndrome."" Aging (Albany NY) 7.2 (2015): 82-96.",https://doi.org/10.18632/aging.100715
cabec,Corrected ABEC blood-based EPIC age estimator,methylation,2020,1893,"Lee, Yunsung, et al. ""Blood-based epigenetic estimators of chronological age in human adults using DNA methylation data from the Illumina MethylationEPIC array."" BMC genomics 21 (2020): 1-13.",https://doi.org/10.1186/s12864-020-07168-8
camilloh3k27ac,H3K27ac histone mark age clock,histone_mark,2023,1276,"de Lima Camillo, Lucas Paulo, et al. ""Histone mark age of human tissues and cells."" bioRxiv (2023): 2023-08.",https://doi.org/10.1101/2023.08.21.554165
camilloh3k27me3,H3K27me3 histone mark age clock,histone_mark,2023,923,"de Lima Camillo, Lucas Paulo, et al. ""Histone mark age of human tissues and cells."" bioRxiv (2023): 2023-08.",https://doi.org/10.1101/2023.08.21.554165
camilloh3k36me3,H3K36me3 histone mark age clock,histone_mark,2023,871,"de Lima Camillo, Lucas Paulo, et al. ""Histone mark age of human tissues and cells."" bioRxiv (2023): 2023-08.",https://doi.org/10.1101/2023.08.21.554165
camilloh3k4me1,H3K4me1 histone mark age clock,histone_mark,2023,893,"de Lima Camillo, Lucas Paulo, et al. ""Histone mark age of human tissues and cells."" bioRxiv (2023): 2023-08.",https://doi.org/10.1101/2023.08.21.554165
camilloh3k4me3,H3K4me3 histone mark age clock,histone_mark,2023,1241,"de Lima Camillo, Lucas Paulo, et al. ""Histone mark age of human tissues and cells."" bioRxiv (2023): 2023-08.",https://doi.org/10.1101/2023.08.21.554165
camilloh3k9ac,H3K9ac histone mark age clock,histone_mark,2023,103,"de Lima Camillo, Lucas Paulo, et al. ""Histone mark age of human tissues and cells."" bioRxiv (2023): 2023-08.",https://doi.org/10.1101/2023.08.21.554165
camilloh3k9me3,H3K9me3 histone mark age clock,histone_mark,2023,342,"de Lima Camillo, Lucas Paulo, et al. ""Histone mark age of human tissues and cells."" bioRxiv (2023): 2023-08.",https://doi.org/10.1101/2023.08.21.554165
camillopanhistone,Pan-histone mark age clock (all marks combined),histone_mark,2023,3740,"de Lima Camillo, Lucas Paulo, et al. ""Histone mark age of human tissues and cells."" bioRxiv (2023): 2023-08.",https://doi.org/10.1101/2023.08.21.554165
deconvolutebloodepicbcell,EPIC blood deconvolution — B cell proportion,methylation,2024,600,"Ying, Kejun, et al. ""A unified framework for systematic curation and evaluation of aging biomarkers."" Nature Aging (2025): 1-17.",https://doi.org/10.1038/s43587-025-00987-y
deconvolutebloodepiccd4tcell,EPIC blood deconvolution — CD4+ T cell proportion,methylation,2024,600,"Ying, Kejun, et al. ""A unified framework for systematic curation and evaluation of aging biomarkers."" Nature Aging (2025): 1-17.",https://doi.org/10.1038/s43587-025-00987-y
deconvolutebloodepiccd8tcell,EPIC blood deconvolution — CD8+ T cell proportion,methylation,2024,600,"Ying, Kejun, et al. ""A unified framework for systematic curation and evaluation of aging biomarkers."" Nature Aging (2025): 1-17.",https://doi.org/10.1038/s43587-025-00987-y
deconvolutebloodepicmonocyte,EPIC blood deconvolution — monocyte proportion,methylation,2024,600,"Ying, Kejun, et al. ""A unified framework for systematic curation and evaluation of aging biomarkers."" Nature Aging (2025): 1-17.",https://doi.org/10.1038/s43587-025-00987-y
deconvolutebloodepicneutrophil,EPIC blood deconvolution — neutrophil proportion,methylation,2024,600,"Ying, Kejun, et al. ""A unified framework for systematic curation and evaluation of aging biomarkers."" Nature Aging (2025): 1-17.",https://doi.org/10.1038/s43587-025-00987-y
deconvolutebloodepicnkcell,EPIC blood deconvolution — NK cell proportion,methylation,2024,600,"Ying, Kejun, et al. ""A unified framework for systematic curation and evaluation of aging biomarkers."" Nature Aging (2025): 1-17.",https://doi.org/10.1038/s43587-025-00987-y
dnamfitagegaitf,DNAmFitAge gait speed sub-clock (female),methylation,2023,54,"McGreevy, Kristen M., et al. ""DNAmFitAge: biological age indicator incorporating physical fitness."" Aging (Albany NY) 15.10 (2023): 3904.",https://doi.org/10.18632/aging.204538
dnamfitagegaitm,DNAmFitAge gait speed sub-clock (male),methylation,2023,60,"McGreevy, Kristen M., et al. ""DNAmFitAge: biological age indicator incorporating physical fitness."" Aging (Albany NY) 15.10 (2023): 3904.",https://doi.org/10.18632/aging.204538
dnamfitagegripf,DNAmFitAge grip strength sub-clock (female),methylation,2023,92,"McGreevy, Kristen M., et al. ""DNAmFitAge: biological age indicator incorporating physical fitness."" Aging (Albany NY) 15.10 (2023): 3904.",https://doi.org/10.18632/aging.204538
dnamfitagegripm,DNAmFitAge grip strength sub-clock (male),methylation,2023,94,"McGreevy, Kristen M., et al. ""DNAmFitAge: biological age indicator incorporating physical fitness."" Aging (Albany NY) 15.10 (2023): 3904.",https://doi.org/10.18632/aging.204538
dnamfitagevo2max,DNAmFitAge VO2max sub-clock,methylation,2023,42,"McGreevy, Kristen M., et al. ""DNAmFitAge: biological age indicator incorporating physical fitness."" Aging (Albany NY) 15.10 (2023): 3904.",https://doi.org/10.18632/aging.204538
dnamic,Blood-based epigenetic clock for intrinsic capacity,methylation,2025,92,"Fuentealba, M., Rouch, L., Guyonnet, S. et al. A blood-based epigenetic clock for intrinsic capacity predicts mortality and is associated with clinical, immunological and lifestyle factors. Nat Aging (2025).",https://doi.org/10.1038/s43587-025-00883-5
dnamphenoage,DNAm PhenoAge — CpG-based version of PhenoAge (513 CpGs),methylation,2018,514,"Levine, Morgan E., et al. ""An epigenetic biomarker of aging for lifespan and healthspan."" Aging (albany NY) 10.4 (2018): 573.",https://doi.org/10.18632%2Faging.101414
dnamtl,DNAm telomere length estimator (140 CpGs),methylation,2019,141,"Lu, Ake T., et al. ""DNA methylation-based estimator of telomere length."" Aging (Albany NY) 11.16 (2019): 5895.",https://doi.org/10.18632/aging.102173
dunedinpace_reduced,"DunedinPACE pace-of-aging (reduced CpG set, 173 CpGs)",methylation,2022,174,"Belsky, Daniel W., et al. ""DunedinPACE, a DNA methylation biomarker of the pace of aging."" Elife 11 (2022): e73420.",https://doi.org/10.7554/eLife.73420
eabec,Enhanced ABEC blood-based EPIC age estimator,methylation,2020,1792,"Lee, Yunsung, et al. ""Blood-based epigenetic estimators of chronological age in human adults using DNA methylation data from the Illumina MethylationEPIC array."" BMC genomics 21 (2020): 1-13.",https://doi.org/10.1186/s12864-020-07168-8
encen100,Centenarian clock — age prediction for extreme longevity (100+ yr),methylation,2023,199,"Dec, Eric, et al. ""Centenarian clocks: epigenetic clocks for validating claims of exceptional longevity."" GeroScience (2023): 1-19.",https://doi.org/10.1007/s11357-023-00731-7
encen40,Centenarian clock — age prediction (40+ yr calibration),methylation,2023,560,"Dec, Eric, et al. ""Centenarian clocks: epigenetic clocks for validating claims of exceptional longevity."" GeroScience (2023): 1-19.",https://doi.org/10.1007/s11357-023-00731-7
epitoc1,EpiTOC mitotic clock for cancer risk (385 CpGs),methylation,2016,386,"Yang, Zhen, et al. ""Correlation of an epigenetic mitotic clock with cancer risk."" Genome biology 17 (2016): 1-18.",https://doi.org/10.1186/s13059-016-1064-3
epitoc2_beta0,EpiTOC2 hypermethylation component (163 CpGs),methylation,2020,163,"Teschendorff, Andrew E. ""A comparison of epigenetic mitotic-like clocks for cancer risk prediction."" Genome Medicine 12.1 (2020): 56.",https://doi.org/10.1186/s13073-020-00752-3
epitoc2_delta,EpiTOC2 rate-of-change component (163 CpGs),methylation,2020,163,"Teschendorff, Andrew E. ""A comparison of epigenetic mitotic-like clocks for cancer risk prediction."" Genome Medicine 12.1 (2020): 56.",https://doi.org/10.1186/s13073-020-00752-3
grimage2adm,GrimAge v2 sub-model: DNAm ADM surrogate,methylation,2022,188,"Lu, Ake T., et al. ""DNA methylation GrimAge version 2."" Aging (Albany NY) 14.23 (2022): 9484.",https://doi.org/10.18632/aging.204434
grimage2b2m,GrimAge v2 sub-model: DNAm beta-2-microglobulin,methylation,2022,93,"Lu, Ake T., et al. ""DNA methylation GrimAge version 2."" Aging (Albany NY) 14.23 (2022): 9484.",https://doi.org/10.18632/aging.204434
grimage2cystatinc,GrimAge v2 sub-model: DNAm Cystatin C,methylation,2022,89,"Lu, Ake T., et al. ""DNA methylation GrimAge version 2."" Aging (Albany NY) 14.23 (2022): 9484.",https://doi.org/10.18632/aging.204434
grimage2gdf15,GrimAge v2 sub-model: DNAm GDF15,methylation,2022,139,"Lu, Ake T., et al. ""DNA methylation GrimAge version 2."" Aging (Albany NY) 14.23 (2022): 9484.",https://doi.org/10.18632/aging.204434
grimage2leptin,GrimAge v2 sub-model: DNAm Leptin,methylation,2022,188,"Lu, Ake T., et al. ""DNA methylation GrimAge version 2."" Aging (Albany NY) 14.23 (2022): 9484.",https://doi.org/10.18632/aging.204434
grimage2loga1c,GrimAge v2 sub-model: DNAm log(A1C),methylation,2022,88,"Lu, Ake T., et al. ""DNA methylation GrimAge version 2."" Aging (Albany NY) 14.23 (2022): 9484.",https://doi.org/10.18632/aging.204434
grimage2logcrp,GrimAge v2 sub-model: DNAm log(CRP),methylation,2022,133,"Lu, Ake T., et al. ""DNA methylation GrimAge version 2."" Aging (Albany NY) 14.23 (2022): 9484.",https://doi.org/10.18632/aging.204434
grimage2packyrs,GrimAge v2 sub-model: DNAm pack-years smoking,methylation,2022,174,"Lu, Ake T., et al. ""DNA methylation GrimAge version 2."" Aging (Albany NY) 14.23 (2022): 9484.",https://doi.org/10.18632/aging.204434
grimage2pai1,GrimAge v2 sub-model: DNAm PAI-1,methylation,2022,212,"Lu, Ake T., et al. ""DNA methylation GrimAge version 2."" Aging (Albany NY) 14.23 (2022): 9484.",https://doi.org/10.18632/aging.204434
grimage2timp1,GrimAge v2 sub-model: DNAm TIMP-1,methylation,2022,44,"Lu, Ake T., et al. ""DNA methylation GrimAge version 2."" Aging (Albany NY) 14.23 (2022): 9484.",https://doi.org/10.18632/aging.204434
han,"Targeted epigenetic age predictor (66 CpGs, elastic net)",methylation,2020,66,"Han, Yang, et al. ""New targeted approaches for epigenetic age predictions."" BMC biology 18 (2020): 1-15.",https://doi.org/10.1186/s12915-020-00807-2
hannum,Blood-based DNAm age predictor (71 CpGs),methylation,2013,72,"Hannum, Gregory, et al. ""Genome-wide methylation profiles reveal quantitative views of human aging rates."" Molecular cell 49.2 (2013): 359-367.",https://doi.org/10.1016/j.molcel.2012.10.016
horvath2013,Multi-tissue DNAm age predictor (353 CpGs),methylation,2013,354,"Horvath, Steve. ""DNA methylation age of human tissues and cell types."" Genome biology 14.10 (2013): 1-20.",https://doi.org/10.1186/gb-2013-14-10-r115
hrsinchphenoage,"PC-adjusted PhenoAge (bolstered reliability, 960 CpGs)",methylation,2022,960,"Higgins-Chen, Albert T., et al. ""A computational solution for bolstering reliability of epigenetic clocks: Implications for clinical trials and longitudinal tracking."" Nature aging 2.7 (2022): 644-661.",https://doi.org/10.1038/s43587-022-00248-2
hypoclock,"Hypomethylation mitotic clock (solo-WCGW CpGs, 678 sites)",methylation,2018,679,"Zhou, Wanding, et al. ""DNA methylation loss in late-replicating domains is linked to mitotic cell division."" Nature Genetics 50, no. 4 (2018): 591-602.",https://doi.org/10.1038/s41588-018-0073-4
intrinclock,Epigenetic clock resistant to immune cell composition changes,methylation,2024,381,"Tomusiak, Alan, et al. ""Development of an epigenetic clock resistant to changes in immune cell composition."" Communications Biology 7.1 (2024): 934.",https://doi.org/10.1038/s42003-024-06609-4
knight,Gestational age predictor from cord blood (149 CpGs),methylation,2016,149,"Knight, Anna K., et al. ""An epigenetic clock for gestational age at birth based on blood methylation data."" Genome biology 17.1 (2016): 1-11.",https://doi.org/10.1186/s13059-016-1068-z
leecontrol,Lee placental gestational age — control clock,methylation,2019,547,"Lee, Yunsung, et al. ""Placental epigenetic clocks: estimating gestational age using placental DNA methylation levels."" Aging (Albany NY) 11.12 (2019): 4238.",https://doi.org/10.18632/aging.102049
leerefinedrobust,Lee placental gestational age — refined robust clock,methylation,2019,396,"Lee, Yunsung, et al. ""Placental epigenetic clocks: estimating gestational age using placental DNA methylation levels."" Aging (Albany NY) 11.12 (2019): 4238.",https://doi.org/10.18632/aging.102049
leerobust,Lee placental gestational age — robust clock,methylation,2019,559,"Lee, Yunsung, et al. ""Placental epigenetic clocks: estimating gestational age using placental DNA methylation levels."" Aging (Albany NY) 11.12 (2019): 4238.",https://doi.org/10.18632/aging.102049
lin,99-CpG age predictor for life expectancy,methylation,2016,100,"Lin, Qiong, et al. ""DNA methylation levels at individual age-associated CpG sites can be indicative for life expectancy."" Aging (Albany NY) 8.2 (2016): 394.",https://doi.org/10.18632/aging.100908
mammalian1,Pan-mammalian universal DNAm age clock (336 CpGs),methylation,2023,336,"Lu, A. T., et al. ""Universal DNA methylation age across mammalian tissues."" Nature aging 3.9 (2023): 1144-1166.",https://doi.org/10.1038/s43587-023-00462-6
mammalianfemale,Mammalian clock — female maximum lifespan predictor,methylation,2023,102,"Li, Caesar Z., et al. ""Epigenetic predictors of species maximum lifespan and other life history traits in mammals."" bioRxiv (2023): 2023-11.",https://doi.org/10.1101/2023.11.02.565286
mammalianlifespan,Mammalian clock — species maximum lifespan predictor,methylation,2023,153,"Li, Caesar Z., et al. ""Epigenetic predictors of species maximum lifespan and other life history traits in mammals."" bioRxiv (2023): 2023-11.",https://doi.org/10.1101/2023.11.02.565286
mccartneybmi,DNAm score for BMI (McCartney EWAS),methylation,2018,1110,"McCartney, Daniel L., et al. ""Epigenetic prediction of complex traits and death."" Genome biology 19.1 (2018): 136.",https://doi.org/10.1186/s13059-018-1514-1
mccartneybodyfat,DNAm score for body fat percentage,methylation,2018,969,"McCartney, Daniel L., et al. ""Epigenetic prediction of complex traits and death."" Genome biology 19.1 (2018): 136.",https://doi.org/10.1186/s13059-018-1514-1
mccartneyeducation,DNAm score for educational attainment,methylation,2018,374,"McCartney, Daniel L., et al. ""Epigenetic prediction of complex traits and death."" Genome biology 19.1 (2018): 136.",https://doi.org/10.1186/s13059-018-1514-1
mccartneyhdlcholesterol,DNAm score for HDL cholesterol,methylation,2018,738,"McCartney, Daniel L., et al. ""Epigenetic prediction of complex traits and death."" Genome biology 19.1 (2018): 136.",https://doi.org/10.1186/s13059-018-1514-1
mccartneyldlcholesterol,DNAm score for LDL cholesterol,methylation,2018,234,"McCartney, Daniel L., et al. ""Epigenetic prediction of complex traits and death."" Genome biology 19.1 (2018): 136.",https://doi.org/10.1186/s13059-018-1514-1
mccartneysmoking,DNAm score for smoking exposure,methylation,2018,234,"McCartney, Daniel L., et al. ""Epigenetic prediction of complex traits and death."" Genome biology 19.1 (2018): 136.",https://doi.org/10.1186/s13059-018-1514-1
mccartneytotalcholesterol,DNAm score for total cholesterol,methylation,2018,205,"McCartney, Daniel L., et al. ""Epigenetic prediction of complex traits and death."" Genome biology 19.1 (2018): 136.",https://doi.org/10.1186/s13059-018-1514-1
ocampoatac1_reduced,ATAC-seq chromatin accessibility age clock (model 1),atac,2023,229,"Morandini, Francesco, et al. ""ATAC-clock: An aging clock based on chromatin accessibility."" GeroScience (2023): 1-18.",https://doi.org/10.1007/s11357-023-00986-0
ocampoatac2_reduced,ATAC-seq chromatin accessibility age clock (model 2),atac,2023,381,"Morandini, Francesco, et al. ""ATAC-clock: An aging clock based on chromatin accessibility."" GeroScience (2023): 1-18.",https://doi.org/10.1007/s11357-023-00986-0
pasta,"Transcriptomic age-shift clock (rank-normalized, 8K genes)",transcriptomics,2025,8114,"Salignon, Jerome, et al. ""Pasta, an age-shift transcriptomic clock, maps the chemical and genetic determinants of aging and rejuvenation."" bioRxiv (2025): 2025-06.",https://doi.org/10.1101/2025.06.04.657785
pedbe,Pediatric buccal epigenetic clock (95 CpGs),methylation,2019,95,"McEwen, Lisa M., et al. ""The PedBE clock accurately estimates DNA methylation age in pediatric buccal cells."" Proceedings of the National Academy of Sciences 117.38 (2020): 23329-23335.",https://doi.org/10.1073/pnas.1820843116
phenoage,PhenoAge — clinical biomarker composite age (10 blood markers),blood_chemistry,2018,11,"Levine, Morgan E., et al. ""An epigenetic biomarker of aging for lifespan and healthspan."" Aging (albany NY) 10.4 (2018): 573.",https://doi.org/10.18632%2Faging.101414
pipekelasticnet,Revised multi-tissue elastic net DNAm clock,methylation,2022,240,"Pipek, Orsolya Anna, and István Csabai. ""A revised multi-tissue, multi-platform epigenetic clock model for methylation array data."" Journal of Mathematical Chemistry 61.2 (2023): 376-388.",https://doi.org/10.1007/s10910-022-01381-4
pipekfilteredh,Revised multi-tissue filtered Horvath-style DNAm clock,methylation,2022,273,"Pipek, Orsolya Anna, and István Csabai. ""A revised multi-tissue, multi-platform epigenetic clock model for methylation array data."" Journal of Mathematical Chemistry 61.2 (2023): 376-388.",https://doi.org/10.1007/s10910-022-01381-4
pipekretrainedh,Revised multi-tissue retrained Horvath-style DNAm clock,methylation,2022,309,"Pipek, Orsolya Anna, and István Csabai. ""A revised multi-tissue, multi-platform epigenetic clock model for methylation array data."" Journal of Mathematical Chemistry 61.2 (2023): 376-388.",https://doi.org/10.1007/s10910-022-01381-4
reg,REG transcriptomic clock — age in years (rank-normalized),transcriptomics,2025,8114,"Salignon, Jerome, et al. ""Pasta, an age-shift transcriptomic clock, maps the chemical and genetic determinants of aging and rejuvenation."" bioRxiv (2025): 2025-06.",https://doi.org/10.1101/2025.06.04.657785
replitali,RepliTali mitotic clock based on late-replicating domain methylation loss,methylation,2022,88,"Endicott, Jamie L., et al. ""Cell division drives DNA methylation loss in late-replicating domains in primary human cells."" Nature Communications 13.1 (2022): 6659.",https://doi.org/10.1038/s41467-022-34268-8
retroelementagev1,Retro-age v1 — retroelement-based DNAm aging biomarker,methylation,2024,1318,"Ndhlovu, Lishomwa C., et al. ""Retro‐age: A unique epigenetic biomarker of aging captured by DNA methylation states of retroelements."" Aging Cell (2024): e14288.",https://doi.org/10.1111/acel.14288
retroelementagev2,Retro-age v2 — retroelement-based DNAm aging biomarker,methylation,2024,1379,"Ndhlovu, Lishomwa C., et al. ""Retro‐age: A unique epigenetic biomarker of aging captured by DNA methylation states of retroelements."" Aging Cell (2024): e14288.",https://doi.org/10.1111/acel.14288
skinandblood,Horvath skin & blood DNAm clock (391 CpGs),methylation,2018,392,"Horvath, Steve, et al. ""Epigenetic clock for skin and blood cells applied to Hutchinson Gilford Progeria Syndrome and ex vivo studies."" Aging (Albany NY) 10.7 (2018): 1758.",https://doi.org/10.18632/aging.101508
stemtoc,StemTOC — improved epigenetic mitotic counter for stem cells,methylation,2024,372,"Zhu, Tianyu, et al. ""An improved epigenetic counter to track mitotic age in normal and precancerous tissues."" Nature Communications 15.1 (2024): 4211.",https://doi.org/10.1038/s41467-024-48649-8
stoch,Stochastic epigenetic aging component (chronological),methylation,2024,354,"Tong, Huige, et al. ""Quantifying the stochastic component of epigenetic aging."" Nature Aging (2024): 1-16.",https://doi.org/10.1038/s43587-024-00600-8
stocp,Stochastic epigenetic aging component (PhenoAge-like),methylation,2024,514,"Tong, Huige, et al. ""Quantifying the stochastic component of epigenetic aging."" Nature Aging (2024): 1-16.",https://doi.org/10.1038/s43587-024-00600-8
stocz,Stochastic epigenetic aging component (Z-score),methylation,2024,515,"Tong, Huige, et al. ""Quantifying the stochastic component of epigenetic aging."" Nature Aging (2024): 1-16.",https://doi.org/10.1038/s43587-024-00600-8
twelvecelldeconvolutebloodepicbas,12-cell EPIC deconvolution — basophil proportion,methylation,2024,240,"Ying, Kejun, et al. ""A unified framework for systematic curation and evaluation of aging biomarkers."" Nature Aging (2025): 1-17.",https://doi.org/10.1038/s43587-025-00987-y
twelvecelldeconvolutebloodepicbmem,12-cell EPIC deconvolution — B memory proportion,methylation,2024,240,"Ying, Kejun, et al. ""A unified framework for systematic curation and evaluation of aging biomarkers."" Nature Aging (2025): 1-17.",https://doi.org/10.1038/s43587-025-00987-y
twelvecelldeconvolutebloodepicbnv,12-cell EPIC deconvolution — B naïve proportion,methylation,2024,240,"Ying, Kejun, et al. ""A unified framework for systematic curation and evaluation of aging biomarkers."" Nature Aging (2025): 1-17.",https://doi.org/10.1038/s43587-025-00987-y
twelvecelldeconvolutebloodepiccd4mem,12-cell EPIC deconvolution — CD4 memory proportion,methylation,2024,240,"Ying, Kejun, et al. ""A unified framework for systematic curation and evaluation of aging biomarkers."" Nature Aging (2025): 1-17.",https://doi.org/10.1038/s43587-025-00987-y
twelvecelldeconvolutebloodepiccd4nv,12-cell EPIC deconvolution — CD4 naïve proportion,methylation,2024,240,"Ying, Kejun, et al. ""A unified framework for systematic curation and evaluation of aging biomarkers."" Nature Aging (2025): 1-17.",https://doi.org/10.1038/s43587-025-00987-y
twelvecelldeconvolutebloodepiccd8mem,12-cell EPIC deconvolution — CD8 memory proportion,methylation,2024,240,"Ying, Kejun, et al. ""A unified framework for systematic curation and evaluation of aging biomarkers."" Nature Aging (2025): 1-17.",https://doi.org/10.1038/s43587-025-00987-y
twelvecelldeconvolutebloodepiccd8nv,12-cell EPIC deconvolution — CD8 naïve proportion,methylation,2024,240,"Ying, Kejun, et al. ""A unified framework for systematic curation and evaluation of aging biomarkers."" Nature Aging (2025): 1-17.",https://doi.org/10.1038/s43587-025-00987-y
twelvecelldeconvolutebloodepiceos,12-cell EPIC deconvolution — eosinophil proportion,methylation,2024,240,"Ying, Kejun, et al. ""A unified framework for systematic curation and evaluation of aging biomarkers."" Nature Aging (2025): 1-17.",https://doi.org/10.1038/s43587-025-00987-y
